#A, A_err, B, B_err, C, C_err, D, D_err
-1.79 , 0.03 , 0.95 , 0.03 , 5.35 , 0.03  , ,
0.32 , 0.01 , 2.55 , 0.19 , 0.75 , 0.01  , ,
0.23 , 0.01 , -0.39 , 0.06 , 0.6 , 0.01 , 0.57 , 0.05  
-0.01 , 0.0 , -4.95 , 3.76 , 0.14 , 0.0 , 5.79 , 4.57  
-0.19 , 0.03 , -0.25 , 0.09 , 0.29 , 0.03 , 0.37 , 0.1  
73.39 , 1.04 , -0.56 , 0.04 , 44.3 , 0.44 , 1.61 , 0.05  
2.34 , 0.18 , -0.9 , 0.22 , 6.54 , 0.11 , 1.88 , 0.33  
18.51 , 0.51 , -1.07 , 0.09 , 16.42 , 0.2 , 2.41 , 0.13  
-1.68 , 0.03 , 1.03 , 0.04 , 5.33 , 0.03  , ,
0.35 , 0.01 , 2.47 , 0.15 , 0.76 , 0.01  , ,
0.2 , 0.01 , -0.36 , 0.07 , 0.6 , 0.01 , 0.6 , 0.07  
-0.04 , 0.01 , -0.56 , 0.2 , 0.19 , 0.0 , 1.01 , 0.27  
-0.14 , 0.02 , -0.26 , 0.1 , 0.23 , 0.02 , 0.38 , 0.1  
100.65 , 2.96 , -0.74 , 0.07 , 77.61 , 1.44 , 1.5 , 0.09  
2.47 , 0.15 , -0.93 , 0.16 , 7.02 , 0.09 , 1.73 , 0.23  
24.27 , 1.14 , -1.04 , 0.13 , 21.46 , 0.5 , 1.92 , 0.18  
-1.42 , 0.02 , 1.33 , 0.05 , 5.33 , 0.02  , ,
0.51 , 0.0 , 2.25 , 0.05 , 0.8 , 0.0  , ,
0.18 , 0.01 , -0.35 , 0.08 , 0.59 , 0.01 , 0.66 , 0.08  
-0.06 , 0.01 , -0.38 , 0.13 , 0.21 , 0.0 , 0.83 , 0.18  
-0.11 , 0.02 , -0.29 , 0.11 , 0.2 , 0.02 , 0.41 , 0.12  
107.04 , 4.11 , -0.86 , 0.1 , 107.77 , 2.26 , 1.43 , 0.12  
2.42 , 0.21 , -1.16 , 0.27 , 7.13 , 0.13 , 1.99 , 0.39  
25.1 , 1.59 , -0.94 , 0.17 , 24.26 , 0.82 , 1.56 , 0.21  
-1.22 , 0.02 , 1.63 , 0.08 , 5.31 , 0.02  , ,
0.8 , 0.01 , 1.87 , 0.07 , 0.84 , 0.01  , ,
0.17 , 0.01 , -0.26 , 0.11 , 0.65 , 0.01 , 0.6 , 0.06  
-0.03 , 0.01 , 0.16 , 0.45 , 0.17 , 0.0 , 1.0 , 0.5  
-0.09 , 0.01 , -0.41 , 0.16 , 0.18 , 0.01 , 0.38 , 0.1  
114.96 , 5.06 , -0.61 , 0.11 , 101.19 , 1.35 , 1.58 , 0.11  
11.19 , 0.47 , -0.86 , 0.11 , 7.07 , 0.08 , 2.49 , 0.14  
53.76 , 3.93 , -0.89 , 0.21 , 24.94 , 0.51 , 2.22 , 0.2  
-1.38 , 0.03 , 0.8 , 0.04 , 5.53 , 0.04  , ,
0.96 , 0.04 , 3.8 , 0.33 , 0.76 , 0.02 , ,
0.21 , 0.01 , -0.35 , 0.1 , 0.6 , 0.01 , 0.58 , 0.07  
-0.03 , 0.01 , -0.54 , 0.66 , 0.18 , 0.0 , 1.3 , 0.72  
-0.17 , 0.01 , -0.33 , 0.1 , 0.25 , 0.01 , 0.4 , 0.09  
93.88 , 2.61 , -0.9 , 0.07 , 56.74 , 0.48 , 1.7 , 0.07  
3.64 , 0.27 , -1.06 , 0.2 , 6.89 , 0.07 , 1.85 , 0.22  
27.13 , 1.85 , -1.3 , 0.19 , 18.81 , 0.28 , 2.32 , 0.2  
-1.56 , 0.03 , 1.36 , 0.07 , 5.32 , 0.03  , ,
0.43 , 0.02 , 2.41 , 0.25 , 0.83 , 0.01  , ,
0.17 , 0.04 , -0.37 , 0.15 , 0.58 , 0.04 , 0.49 , 0.18  
0.0 , 0.01 , 1.09 , 11.27 , 0.16 , 0.01 , 0.0 , 0.69  
-0.18 , 0.05 , -0.32 , 0.14 , 0.3 , 0.05 , 0.39 , 0.16  
62.39 , 2.49 , -0.72 , 0.1 , 37.06 , 1.83 , 1.3 , 0.13  
0.88 , 0.26 , -0.28 , 0.25 , 6.44 , 0.25 , 0.46 , 0.27  
9.36 , 0.83 , -0.55 , 0.17 , 15.2 , 0.79 , 1.02 , 0.23  
-1.66 , 0.04 , 1.49 , 0.09 , 5.18 , 0.04  , ,
0.07 , 0.01 , 2.01 , 0.8 , 0.94 , 0.01 , ,
-0.17 , 0.09 , -0.79 , 0.59 , 0.57 , 0.09 , 0.55 , 0.43  
0.06 , 0.02 , -1.07 , 0.48 , 0.11 , 0.01 , 2.64 , 1.02  
-0.01 , 0.28 , 1.57 , 9.33 , 0.41 , 0.34 , 0.0 , 10.36  
56.4 , 2.44 , -0.69 , 0.11 , 21.59 , 1.88 , 1.39 , 0.15  
0.13 , 0.15 , -2.59 , 2.34 , 6.12 , 0.08 , 7.25 , 5.9  
5.42 , 2.52 , -0.97 , 0.95 , 16.16 , 2.17 , 2.08 , 1.79  
-2.3 , 0.22 , 0.58 , 0.1 , 5.72 , 0.24  , ,
-0.21 , 0.05 , 5.29 , 2.65 , 1.06 , 0.02  , ,
